product_code,product_name,price,availability,description,category,brand,image_url,stock_status,scrape_status,error_message,location_Local,location_Other,location_Branch
12974.0,STC GROOMING BLOCK GRM8600 !!,,In Stock (4 available),,,,,In Stock,success,,0,4,Sydney
12975.0,ST HALTER HORSEMANSHIP !!,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
12976.0,ST ELASTIC SURCINGLE !!,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
12982.0,SCENEY METHYLATED SPIRITS 4LT !!,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
12985.0,SOLO SPRAYER SOLO 1LT !!,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
12995.0,TALLAHES H KRP EXTRA STREN H 7 1/C !!,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
12996.0,TALLAHES H KRP SUPER SOUND 6 F 1/C !!,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
13000.0,,,,,,,,,success,,,,Sydney
13068.0,TROJAN WHOLE OATS 20KG !!,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
13073.0,HYGAIN REGAIN 20KG *@,,In Stock (41 available),,,,,In Stock,success,,0,41,Sydney
1315.0,,,,,,,,,success,,,,Sydney
13256.0,GIBBS BARLEY STEAMED ROLLED 20KG **,,In Stock (33 available),,,,,In Stock,success,,0,33,Sydney
13359.0,MUSTAD HOOFJACK EQUINE INNOVATIONS !!,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
13449.0,ZILCO BONNETT CROCHET W/EARS WHITE !!,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
13516.0,MUSTAD CONCORDE EQUILIBRIUM STEEL F 8 !!,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
13698.0,NES SPONGE TENNIS BALLS MINI !!,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
13830.0,APPARENT DEVOUR 1000LT (POLYSILOXANE) **,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
13849.0,,,,,,,,,success,,,,Sydney
13891.0,EUKANUBA DOG ADT GERMAN SHEPHERD 12KG ##,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
13904.0,COPRICE BEEF GROWER PELLETS 25KG ##,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
13918.0,MAXUM FOODS AS ORD (INV PRICE)##,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
13946.0,NAT CHOICE PUPPY LG BRD LMBRICE12X400GM*,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
13947.0,NAT CHOICE ADULT SMALL TOY CKNRICE 3KG**,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
1419.0,OS DRIPPER WIRE 2MM LONGLIFE 2000M ##,,In Stock (5 available),,,,,In Stock,success,,0,5,Sydney
1420.0,OS TOMATO WIRE 2MM 4000M ##,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
14283.0,JD CASE IH MODERN TRACTOR 46234 !!,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
14327.0,STC EQUI-PRENE GRAZ MUZZLE FULLVET2295!,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
14409.0,CT STAYZ ON BROWN MATT MAKE UP 100GM ##,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
14458.0,ZILCO NON SLIP PAD 55CMX60CM 837512 !!,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
1448.0,OS TIE WIRE REEL AND HANDLE ##,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
1449.0,OS FARMERS FRIEND TIE WIRE 1.6MMX200MT*,,In Stock (1 available),,,,,In Stock,success,,0,1,Sydney
14536.0,AWP GALMAX MAXLOC 2.8MM 6/70/30 200M**,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
14537.0,AWP GALMAX MAXLOC 2.8MM 6/90/30 200M**,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
14559.0,AWP GALMAX 5.2MM 400M WHT PVC HORSE**,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
14560.0,AWP GALMAX TRELLIS 2MM 2000M HT **,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
14562.0,AWP GALMAX TRELLIS 2.85MM 1000M HT **,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
14570.0,AWP GALMAX NETTING 105X4X1.4MM 100M*,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
14576.0,AWP GATE NO BRACE 1160MM (4') **,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
14577.0,AWP GATE NO BRACE 1460MM (5') **,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
14578.0,AWP GATE NO BRACE 1770MM (6') **,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
14580.0,AWP GATE I STAY VERT BRACE 2380MM(8'*,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
14590.0,AWP GATE 5 BAR VERT BRAC 2980MM(10')*,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
14675.0,AWP MESH PANEL 2400X1200/75X50/3.5MM **,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
